0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The School of Rock,B0001KO8E8,School of Rock,B00018YCHI,8 Mile,B00008GKEX,High Fidelity,B000056QB4,Almost Famous,B00003CXMG,It Might Get Loud,B002RVZV9K,Nacho Libre,B000I0FB1U,"['venture', 'action', 'crime']"," About a year ago I heard that a movie was coming out which a. featured a large number of child actors, b. was set in a posh prep school and c. was about a stand-in teacher who enters a band competition with his class.  At first I thought &quot;What a stupid idea for a film.&quot;.  But when I found out that Jack Black and Linklater were behind it, I changed my opinion.  I was sure that it would be a hit.  The film is a bit corny in parts and the ending, at ""Battle of the Bands"", a little too ""feel good"", but overall Jack Black is incredible.  The ""Rock and Roll"" in-jokes are perfectly delivered.", Hilarious
Friday Night Lights: Season 1,B000RF1QE2,Everwood: Season 1,B004GJYRFA,Veronica Mars: Season 1,B000A59PMO,The O.C.: Season 1,B0002V7TZQ,The Wire: Season 1,B0002ERXC2,The Wire: The Complete Series,B005NFJAWG,Sons of Anarchy: Season 1,B0024FAR5W,"['venture', 'action', 'crime']"," The first 3/4 of the pilot can be confusing and hard to watch. So many characters to introduce, and a dramatic device that cuts back and forth between interviews and ""real life"" doesn't work very well.  It can be hard to follow and the jumps in time are odd.  But once you get past that, the series hits its stride. Excellent writing, fine acting, and a show that respects its audience as well as its characters.  I only picked up on this towards the end of the season, and had to force myself to get through the pilot.  But after that, very enjoyable."," Pilot is shaky, but the series is great"
Ben-Hur: 50th Anniversary Edition,B0057UA4BI,Ben Hur,B00004CI8G,Ten Commandments,B000CNESNA,El Cid,6302388007,Jesus Of Nazareth,B0000633QW,Lawrence Of Arabia,B000SOYEQY,Gandhi,B00008F24E,"['venture', 'action', 'crime']"," If you haven't seen this,you must do yourself a favor.There is not much debate on the fact that the Chariot race is the greatest action scene ever filmed...  11 OSCARS INCLUDING BEST PICTURE OF 1959  The transfer to dvd is rather excellent concidering it's time..The sound really thumps during the race. Although fiction.The events that take place are excellent leading up to the crucifixion. A great theme of water begins when ben-hur meets christ for the first time.We never see christ in the entire three and half hours..but we &quot;think we did&quot;..Very well made  A must for any collection.", Do yourself a favor!
Bewitched,B000I8G5EO,Stepford Wives,B000IZA9OY,Jack and Jill,B006LL3WAM,Just Go with It,B004QO9H28,Get Smart,B001KEN3K4,The Office: Season 1,B0009VBTP0,Dinner for Schmucks,B004AV5GX6,"['venture', 'action', 'crime']"," This movie really tanked, sorry to say. Nicole Kidman was terrific in her role, but the script was lousy, there was nothing funny about it, and everyone left the theater feeling let-down. The only good thing about this film was the cute house they had Nicole's character living in; I kept staring at the architecture and the decor. I spent most of my time during the film wishing I could live in a cute little cottage like hers. But the movie itself was just plain awful. When is Hollywood going to get it? It's all about the script, folks!"," oh, blah!"
Joseph and the Amazing Technicolor Dreamcoat,0783240287,Jesus Christ Superstar,0783232071,Les Miserables,B004J64QSI,Celtic Woman,B0007M22TI,Celtic Thunder: The Show,B00152PFAM,Gospel of John,B0006Q93ZG,Hairspray,B000X9MFHE,"['venture', 'action', 'epic']"," I remember watching a production of this musical in my country over ten years ago.  So I bought both the CD and this version with Donnie Osmond.  I find it amazing how Webber and Rice were able to make such a great musical from a few passages in the Bible.  And they must have been so young when they did it!  There is an innocence and catchiness to the entire musical.  And like the Bible, it is very timeless.  I can identify with the character when he goes through all his trials.<br /><br />I would listen to the CD over and over and watch the video as well.  I never get tired of it.  A great buy.", I love it!
Fireproof,B001HN68ZU,Flywheel,B0012IJWM6,Facing the Giants,B0010IF6NC,The Ultimate Gift,B005KG4DES,Soul Surfer,B0055PMURG,Bella,B001ARPG7Y,Latter Days,B000GAKGLM,"['venture', 'action', 'crime']"," A good movie with a message for everybody about relationships between family, spouses, children, friends, etc.  Its message is that in today's society people give up too easily and are self evolved and selfish in their own lives and with hard work, honesty, dedication, faith, commitment and communication most relationships could be saved and greater happiness and fulfillment be achieved.  Another message is never make assumptions about people in your lives because your assumptions could be wrong.", An inspiring and motivational movie for all ages
Spirited Away,B00005JLEU,Princess Mononoke,B00004T37H,My Neighbor Totoro,6303118240,Ponyo,B0031S4K5E,Castle in the Sky,7799129905,Tenkû no shiro Rapyuta,B0000BV1JZ,Grave of the Fireflies/,B006LLY8LY,"['venture', 'action', 'crime']"," Spirited Away is truly a precious movie that I hold dearly in my heart.  I definitely recommend it.  After watching this movie, I started watching Miyazaki's other movies, and all of them are just as amazing.  Miyazaki's movies are very refreshing, and they always make me feel better.  When something in my life is hard, I watch one of his movies, and I feel like I can deal with anything that comes my way, and more.  I realize not everyone will feel the same way, but do at least give this movie a try!", Words Can't Even Begin To Express How Great This Movie Is
Metropolis,B003IMER3I,The Complete Metropolis,B0040QYROK,Fantasia,B00004ZBXH,King Kong,B00003CXAW,Brazil,B009D004X6,Time Machine,6301977815,TRON,B004KPLVW2,"['venture', 'action', 'crime']"," I regret two things: 1- prior to my purchase not reading other user reviews which stated about the poor recording quality of the DVD, 2- rating such a masterpiece 2 stars only because of its poor quality.<br />I agree with all the other people who commented on the unacceptable quality of the image you get. It is out of focus, crops the sides of the frame (I guess that one can see not more than the 70% of the whole frame area) and sctatchy. Producing and marketing such a DVD is a sheer disrespect to a masterpiece like Metropolis.", such poor physicality
Birth,B001TDRGZO,Match Point,B000EQHXNW,Melancholia,B005TJ7EFG,Broken Flowers,B000C8Q978,Notes on a Scandal,B00005JP63,Premonition,B001F6NHOY,Dogville,B0002F6B7Y,"['venture', 'crime', 'action']"," I love Nicole Kidman, I think she is a wonderful actress.  She is a great actress in this part as well, and so is the rest of the cast, but this movie is so poorly written, it doesn't matter how great the cast is.  Nothing is explained satisfactorily, and the scene of Anna naked in the bathtub with a little boy is just gross.  And the music, UGH!  Most of it was very good, and very fitting, but there was a low, base beat that just kept going and going until I finally muted it.  Thank goodness I only paid $2 to see this movie, even that would have been better spent on some Reese's peanut butter cups...", What a waste of time!!
Out of Africa: 25th Anniversary,B00371QQ5W,Out Of Africa,B001T7LBOW,The New World,B0029O0BK4,Dances With Wolves,6303389252,Jeremiah Johnson,B006UANERU,The Painted Veil,B000RNOAL0,Doctor Zhivago,B00005NHA7,"['venture', 'action', 'crime']"," I last saw this movie when it was originally released at theaters 25 years ago.  Seeing it again on Blu Ray was a very enjoyable experience.  My two favorite things about the film: the cinematography, which features the beautiful landscapes of western Africa; and the musical score created by John Barry, who also did the score for Dances with Wolves.  The script is based on the true life experiences of Danish writer Isak Dinesen, and there's a documentary about her included in the Blu Ray version.  Watching this Academy Award winning film again was a great experience.", B R Bruce
Splice,B0041VV03A,Human Centipede,B004H045QY,Bug,B000WU3ZPU,Skyline,B004UTA5BG,Pandorum,B002QW7ALM,The Descent,B000JJ5F0W,Aliens vs. Predator: Requiem,B0014EGMQM,"['venture', 'action', 'crime']"," this is a tense,atmospheric,drama/sci-fi/thriller.it deals with a topical issue,one that has been done before,but it works here.the issue is one of cloning.and the ethic and moral issues involved.it's a thought provoking movie and no matter what side of the fence you're on regarding this particular issue,it should engage you.it moves at a deliberate pace in order to to keep a tense atmosphere.the acting is solid all around,but Delphine Chan&eacute;ac stands out as Dren.if you're expecting an action packed movie with lots of things blowing up,you should look elsewhere.but if you're looking for something engaging and compelling,check this one out.for me,Splice is a 3.5/5", engaging and compelling (3.5/5)
The Scorpion King,B000063W1U,Mummy,B0001B3YWO,Conan The Barbarian,B005ZO6NRA,Indiana Jones - Giftset,079215827X,Wrath of the Titans,B00782E7EI,Doom,B000CNER1S,Van Helsing,B001JIHGO0,"['venture', 'action', 'crime']"," What's not to like! Mummies running amouck. Awesome CG effects. Drama, comedy and a great story line all in one. The first two Mummy movies are among my favorites but the third one, not so much. It was okay, but just okay. Did not keep it in my collection. The first two Mummy movies I will watch over and over, so if you are looking for a couple of fun exciting movies, you can't go wrong with these. Except for the scarab beetles that periodically eat someone, kids will also like these. (The beetles might give younger ones bad dreams so I recommend screening prior to letting them watch. You know your kids best.)", What's not to like!
Cannibal Holocaust Deluxe Edition,B000C4BBXY,Cannibal Holocaust,B001B187L6,Last House on the Left,6302034981,Hostel,B000EHRVPQ,Irréversible,B00008YNI2,Irreversible,B00156VGX8,Texas Chainsaw Massacre,B000FS9FE4,"['venture', 'crime', 'action']"," Cannibal Holocaust is one of the most convincing ""snuff"" films ever, although its not really a snuff film. Some of the special effects scenes in this are scenes that other s.e artists to this day try to recreate but to no success. The effects were so convincing that it was band in many countries! The most amazing aspect of the movie consists of the cast, a real life cannibal tribe! Its completely amazing how the director was able to have these tribesmen act accordingly. This is a underground classic for the hardcore horror fan!", Snuff or Bluff?
Black Swan,B0041KKYEW,Birth,B001TDRGZO,The Wrestler,B001XN9NTC,The Machinist,B0007Y08QA,Audition,B002E73DC4,Ôdishon,B00005MKXB,Rachel Getting Married,B001E95ZO2,"['venture', 'action', 'crime']"," First of all, this is definitely a film worth seeing.<br /><br />It is more for the performances, as this is an actor's and director's showcase. Natalie Portman is simply stunning and gives her best performance to date.<br /><br />However, the film is actually quite thin and undercooked from a narrative standpoint. The visuals can be entertaining and there are some incredibly tense moments, but the film is light on suspense or any nuanced emotion.<br /><br />I think if you watch this film simply expecting entertainment, you will come out with more than you bargained for and you will NOT be disappointed.", more for entertainment
Snakes on a Plane,B007JUT898,Cabin In The Woods,B008WB33LW,The Happening,B001HOZWUG,Piranha,B002ZG98KK,Lockout,B007X4ECLY,Skyline,B004UTA5BG,House of Wax,B006IUTWA0,"['venture', 'action', 'crime']"," With a title like Snakes on a Plane, it's pretty clear what you are in for.  This film delivers in spades.  Vicious, venomous snakles from around the world are attracted to phermones planted in the leis on a trip from Hawaii to LA.  Boy, do those pheromones make them vicious.  Some very gory and some very funny snake attacks here.  Maybe it should be called Cousin of Willard?  Anyway, this one brings some gross-out thrills and hillarious comic moments.  The amazing Samuel J. gives us his Samuel J. best.  A real saturday afternoon type thriller.  Just plain fun!"," Fun, fun, fun"
The Twilight Saga: New Moon Two-Disc DVD Gift Set with Charm Necklace and Bonus Features Year 2009,B003DBCXF8,Crepusculo La Saga: Luna Nueva,B003EE28IQ,Twilight Saga: New Moon,B0035KD67G,Twilight Saga: Eclipse,B0045XICB2,Twilight Saga: Breaking Dawn 1,B00783NPVI,The Vampire Diaries: Season 1,B002JVWRAE,Harry Potter-Half Blood,B00308TGGS,"['venture', 'action', 'crime']"," Looking at the special features, the one thing that is missing, and one of the things I loved about the Twilight DVD, is the audio commentary from Pattinson and Stewart. (Lautner should be in there too for New Moon.) Instead all they have listed is the director and editor's commentary. Boo. The Twilight commentary with director and actors was informative AND really funny. Get those actor's well compensated backsides in a chair, and put a mic in their faces for 2 hours, and make the two disc special edition worth the extra cash!", Not as Special Features
The World At War - 9 Volume Gift Set,0783107986,The World at War,B00004Z2YF,War: A Ken Burns Film,B0028O9V8S,The War: A Film by Ken Burns,B007BMIFI4,War: Ken Burns,B001RQ8E36,Ken Burns: The Civil War,B004AR4WSA,The Fog of War,B0001Q4CXE,"['venture', 'action', 'crime']"," This 1970's documentary is a great classic. Great footage and editorial comment by a number of historians as well as the combatants from all sides of the conflict. While this British produced piece shows a lot from the Anglo perspective, it really does have a good balance covering the war in it's entire scope. If you like a flag flying, victory by sheer might type of story, this is probably NOT the documentary for you.<br />If you want to get the ""feel"" of the war from the London blitz to the siege of Stalingrad to the beaches of the Pacific, you'll like this terrific classic piece.", A Classic Documentary
The X-Files,B0002OI07E,The X-Files: Season 1,B000BOH986,X-Files: I Want to Believe,B001G7PSSK,Kolchak - The Night Stalker,B000ATQYWY,Fringe: Season 1,B001MS7IBS,Lost: Season 1,B00139YA4O,Supernatural: Season 1,B000FP2OPY,"['venture', 'action', 'crime']"," I've only been an X-Files fan for maybe 2 1/2 months at the most, and I was lost when I started watching. This DVD set allowed me to find out who Mulder and Scully *are*, which is a good thing. It's nice to see a TV  series being released the way it should be, in it's entirety. The cut  scenes were also interesting to watch, as were the interviews. It's also  kind of cool to see ALL those commercials that were used to promote the  individual episodes:) It's definately worth the price for ANY X-File fan,  weather you are new to the show or not.", A new fan.....provided some nice background
The Chronicles of Narnia: The Voyage of the Dawn Treader,B002ZG99PY,The Golden Compass,B0013TO3HS,The Last Airbender,B00463GPHY,Eragon,B002NJWHHA,Harry Potter-Half Blood,B00308TGGS,Bridge to Terabithia,B000P6R5Y8,Harry Potter Years 1-5,B001DPHDI8,"['venture', 'action', 'crime']"," When Edmund, Lucy and Eustace find themselves back in Narnia they're rescued and taken aboard The Dawn Treader. It's pure fantasy and enchantment from then until the end of the movie. While their cousin, Eustace, starts out as dead weight on the adventure, a surprising change takes place, and he becomes a heroic figure. Anyone who's followed the Chronicles of Narnia movies will love this one. Even if you've never seen one of the movies, I would recommend starting out with this one. Even without the full backstory you can still enjoy it.", They Saved the Best for Last
Godzilla,B00004CXWV,Godzilla - Size Does Matter,0800141326,Godzilla 5pk,6304911793,The Host,B0026ATDT6,Cloverfield,B001AOKA3W,Reign Of Fire,B004LGE2LC,Skyline,B004UTA5BG,"['venture', 'action', 'crime']"," I actually really like this film, but there are two glaringly bad things about it.<br />One, it shouldn't be called Godzilla... it's got nothing to do with the Japanese monster so why steal the name? Godzilla fans won't like it, and people who don't like Godzilla movies won't see it.<br />Two, while I really like Matthew Broderick... he was the wrong guy for this. It should have gone to someone like Jeff Goldblum or such.<br />And I guess I must point out that while CGI bits in movies tend to look like they're a higher resolution, in Godzilla... they look lower. I actually noticed how much sharper the picture went every time Godzilla went off screen."," Godzilla?? Nah, but a good flic none the less."
The Civil War - A Film by Ken Burns,B000068ULD,Ken Burns: The Civil War,B004AR4WSA,War: Ken Burns,B001RQ8E36,War: A Ken Burns Film,B0028O9V8S,The War: A Film by Ken Burns,B007BMIFI4,The World at War,B00004Z2YF,America The Story Of Us,B003C27X44,"['venture', 'action', 'crime']"," It was a wonderful series when it was first issued on VHS and it's even better on DVD.  The bonus disc with interviews is as enlightening as the series itself.  Shelby Foote provides excellent, Southern drawl ""down home,"" explanations that make what could have been a very long history class come alive.  What's more, rather than presenting itself as a scholarly dissertation on a very complex subject, it's a story of America's most trying time that's a fascinating to see and hear.  It's classified as a documentary but it is certainly much more than what we commonly think of when the word documentary is mentioned.", Ken Burns' The Civil War
Immortals,B007H7XJD4,Wrath of the Titans,B00782E7EI,Conan the Barbarian,B004EPYZTE,Clash of the Titans,6301966341,Sucker Punch,B0090XG9US,Thor,B005H9B44A,Clash of Titans,B005DVIQFC,"['venture', 'action', 'epic']", Immortals was a good movie. Not the best though. I was entertained and enjoyed Mickey Rourke's performance. Its an action adventure. John Hurt was good too. I hardly remember much about the film as it was not memorable. I do know that I enjoyed the action. You need a certain ammount of belief in the idea of gods and goddesses. If you can get into the concept of Mythology having an effect on the human mind you might enjoy it. But it doesn't focus on the stories of the gods. It focuses on the power mad king Hyperion who wants a magical weapon to dominate the world but Theseus stops him. There were some great scenes with the magical bow that shoots arrows of pure energy., Good movie.
Baraka: 2-Disc Special Edition,B001CDLAT4,Baraka,B001CDLATE,Winged Migration,B0000D0YXW,Life,B005HV6Y5W,Waking Life,B000063K62,The Fountain,B000O77R6O,I Am,B006UJHZEE,"['venture', 'action', 'crime']"," 1st, Stunning Image Quality. The video transfer into HiDef is flawless. Clean, Clear, and Crisp. This BD will show you how good Blue Ray can be, and what other HD movies should be in term of Image Quality. It is a Hi Definition with Hi Fidelity I think, even the 1080P resolution is not enough to show the real hi resolution of the movie. This is my BD reference.<br /><br />2nd, the storyline is about ""The Avatar of real life"". Simply so beautiful, no words to tell, the pictures tell millions words. It will touch your consciousness, if you were still awake while watching it ;-)", True Hi Definition Benchmark Movie
The Green Mile,B001EBYM80,It,B00008AOML,The Mist,B003TNM2ME,Seven,0790729989,Se7en,B00004CSKX,To Kill a Mockingbird,B000ID37RM,Fried Green Tomatoes,B000I9WW6I,"['venture', 'action', 'crime']"," This was probably one of the best movies I have seen in a while, with the exception of Gladiator.  It was the perfect combination of mystery, suspense, comedy, and drama.  It's a &quot;funny tear-jerker&quot; as I put it.  It is a great movie to watch unfold.  Let's just say that by the end of the movie my eyes were glued to the t.v. with tears falling out of them and a smile on my face.<p>Also, the book is good to read.  Personally, I think it is a little better than the movie just because you get such a description of everything and you get more background.", Wow
The Song Remains the Same,B00004D34H,Led Zeppelin,B00008PX8P,Rush: R30,B002QCKONI,Pink Floyd - Pulse,6303477259,Rush in Rio,B0000CG89W,U2 - 360° AT THE ROSE BOWL,B003ELOQCU,The Last Waltz,B00003CXB1,"['venture', 'action', 'crime']"," A nice collectible concert for living in the past as the song remains the same. Video transfer quality is ok considering the film is about 35 years old. Audio quality has been greatly improved and makes this title worthwhile for Zeppelin fans. This DVD replaced my VHS copy of the movie. The extras are also ok, nothing to get too excited about. If you are expecting the concert to look as good as modern day 16:9 standard DVD's let alone HD DVD's you will be disappointed. A must have for serious collectors as HD is being discontinued.  I give this release four flaming chilies as it is Led Zeppelin after all."," Still, the song remains the same after all these years......."
Queen of the Damned,B004YSDZAG,Queen of Damned,B000069I5T,Interview With the Vampire,6303443192,Twilight Saga: New Moon,B0035KD67G,Crepusculo La Saga: Luna Nueva,B003EE28IQ,Dracula,B00004CYNY,Twilight Saga: Eclipse,B0045XICB2,"['venture', 'action', 'crime']"," I enjoyed Queen of the Damned enough to add it to my collection.  As I said in my review title, this is a good stylish, atmospheric vampire flick with a decent story and a decent premise.  I thought the acting was good enough for this type of movie, I couldn't find anything wrong with it because I don't nitpick the details of fictional movies to death.  I enjoyed Queen of the Damned for what it is.  All of the reviewers calling this movie dreck should probably stay well away from the genre.  -kd5-"," Good, stylish, atmospheric vampire flick"
Hidalgo,B00024I2TA,Jeremiah Johnson,B006UANERU,Secretariat,B006WSL0GM,War Horse,B0072GPQ72,"10,000 B.C.",B001BKV9TE,Broken Trail,B000GFRI4K,Appaloosa,B001LRJH0U,"['venture', 'action', 'crime']"," Yes, this is a very good movie, much better than Seabiscuit, as a matter of fact. There aren't any special features, but I don't care. Would you rather own a good movie with no special features or a bad movie with tons of special features? And, on most of the DVD's with special features, they are all boring and try to make up for the subpar movie.<br /><br />Viggo Mortensen is a rising star. He's been in many movies alongside big stars, like when he was in Crimson Tide. It's a pretty good all around movie.", the movie is very good
Shrek,B00003CXXJ,Shrek 2,B000O59A3Y,Shrek the Third,B0015U0R0M,"Monstruos, Inc.",B000065AG8,"Monsters, Inc.",B00005V96B,Mulan,7883700928,Tangled,B004G6009K,"['venture', 'action', 'crime']"," I did not watch this movie because it was a ""kids"" movie and this morning I popped it in and could not stop watching. I thought I would just watch a few minutes--I didn't leave the room for even one second. I had to see what was going to happen next.<br />Shrek was so lovable and the princess was not your normal princess. She was rough and tough. I was shocked when she turned into an Ogre. That was the LAST thing I would have expected to happen!!!!<br />The short ""king"" was hilarious!!!<br />And I really enjoyed the fire breathing dragon falling in love with the donkey. Who would have thought........<br />Go see this movie--buy this movie--ENJOY!!!!!!!!!", Great---would give this more than 5 stars if I could.
Ghost In The Shell,B002UKVO3U,Kôkaku kidôtai,B00009PAFF,Ghost in the Shell,6304539495,AKIRA,B001C374XA,Ninja Scroll,B009AVC922,Princess Mononoke,B00004T37H,9,B002VP8ZOA,"['venture', 'action', 'crime']"," Ghost in the shell is a cyber punk anime that mingles machines and flesh so tough that no one really is pure human. It has a real good amount of action in it and also a though provoking anime. It starts out as a female cyborg cop thats going after a enemy called the Puppet Master problem is its hard to tell where or who he is. He messes wit peoples minds and stuff to make um do whatever he wants them to, soon near the end the Female Cop has to make a decision. Its a very good anime wit some nudity (but name an unedited anime that dosen't, besides Pokemon) so i would recommend it for 16 and up. My only downside is i wish they would make a sequel. :}", One of the best anime's ever made
Thomas Crown Affair,B00382S9V4,The Thomas Crown Affair,6305657947,Italian Job,B0009NSE2E,Die Another Day,B00006FMGI,The World is Not Enough,6305784914,Mission: Impossible 2,B000O59AFW,To Catch A Thief,B000JG9ZXI,"['venture', 'action', 'crime']"," This movie does a good job at mixing humor, ""chick flick"" romance, and suspense. You know right away that Thomas Crown is guilty but you are still intrigued and compelled to watch on to see what he does and how he got away with such a brazen theft! The chemistry between Pierce Brosnan and Rene Russo is electrifying and makes you want to see them together in another movie even though you know it wouldn't be the same because it's the wonderfully written script that invokes the chemistry!!  Too Bad!", I wish I was so rich that I get bored and have to steal paintings to spice up my life!
La Bella Durmiente,B000092T54,Sleeping Beauty,B00008X5J5,The Little Mermaid,B00004RWQS,Aschenputtel - Cinderella,B00004RLZ0,Pinocchio,B0000TG48I,Pinocho,6303142281,Princess & The Frog,B0049GYXDQ,"['venture', 'action', 'crime']"," The Blu-Ray remastering is simply breathtaking. I owned the remastered DVD and there's no comparison, especially on a big screen HDTV (with its full Cinemascope glory). The clarity and the details of the images look even better than I remember in the theater. The remastered soundtrack adds gorgeous 5.1 surround sounds and brings out the impressive score. The result would please Walt Disney himself -- it's as if the film was made in 2009! Truly a masterpiece for all ages. They don't make animation like this anymore.", Masterpiece deserves a master treatment
Ten Commandments Collectors Edition,6302194342,Ten Commandments,B000CNESNA,Ben Hur,B00004CI8G,Jesus Of Nazareth,B0000633QW,One Night with the King,B000JJSJO6,El Cid,6302388007,Gospel of John,B00125W2IA,"['venture', 'action', 'crime']"," THE TEN COMMANDMENTS is a film that will inspire all. There is good and evil present in all forms of society found in all recorded history. This movie is good traditional film making with an important message about the human spirit: it flaws, weaknesses and triumphs. Essentially Heston is a good man and he exemplifies these human frailties yet accepts the divine task at hand. Brynner takes up the moniker of the Egyptian ruler upon the death of his father. However, Brynner without the wisdom (be it moral or not) of his father is ineffectual in every aspect of his life. Unlike Heston, Brynner does not learn from his mistakes.", It will Inspire You
One Hour Photo,B00007976T,Insomnia,B003ELMR9E,Ôdishon,B00005MKXB,Audition,B002E73DC4,Session 9,B00005UQ9F,The Machinist,B0007Y08QA,A History of Violence,B004BA80IO,"['venture', 'action', 'crime']"," One Hour Photo does what most movies nowadays are not willing to do...it takes its time. The makers of this movie clearly did not care about the modern American film audience, who can be boldly described as impatient, unattentive, and generally, stupid. This film is for those of us who actually know what good movie making is. Throughout the course of this movie, you will get to understand the characters, and truly feel for them. Make no mistake about it. This movie is chilling to the bone, but it is also one the saddest movies I've ever seen. Do not listen to other people who say that this film is boring or bad. Please make your own judgements.", One of the greatest films so far this decade
Sex & The City: The Movie,B004L9GLJA,,B001DDBCUK,Sex And The City 2,B0049A9BSY,The Devil Wears Prada,B000MM0HTA,27 Dresses Blu-ray Repackaged,B0015I2UB8,Gilmore Girls: Season 7,B000N6TYLW,The Wedding Date,B0009OL7ZO,"['venture', 'action', 'crime']"," The movie is fun, especially for long-time fans. There are many layers -  it was nice to watch it at home and let it all sink in. I bought the Blu-Ray version of the film - while there's no denying that it looks great, the extras weren't as exciting as touted in the description. There's barely any additional footage - deleted scenes or otherwise and there's still no explanation of Stanford's paltry storyline. Also, no ""cutting room floor"" extras of the rumored Aiden storyline. I was expecting a lot more, but still enjoyed the actual film. You aren't missing anything by purchasing the DVD version, as far as I can tell. And you'll save a few bucks!", Almost!
House of Wax,B006IUTWA0,Saw,6305099014,The Hills Have Eyes,B004FLWEIQ,"House Of 1,000 Corpses",B00062IZZY,The Strangers,B001D2WU8O,Vacancy,B002EJ1680,Hostel,B000EHRVPQ,"['venture', 'action', 'crime']"," I'm not sure why this movie is getting such good reviews from others. Personally I thought it was pretty bad. The acting is horrible and the script is ridiculous. If people really were as dumb as the ""teenagers"" in this movie act, they'd have a lot more problems than just getting dipped in wax. Okay, the movie is good for some laughs, and there is some ""gore"" for those who like that, but I wouldn't waste my time or money watching this again and if I could get it back for the first viewing, I would. One star - and that's only because there is no Zero on the meter.", Don't waste your time
Battlestar Galactica:The Mini-Series,B000VFUJN2,Battlestar Galactica,B0001M1JFM,Caprica,B001RTCP1U,Stargate Universe SG-U: 1.0,B002R8JG58,Farscape,B005CXOG8M,Torchwood: Children of Earth,B002BVYBJW,Star Trek: The Next Generation,B00005UO5M,"['venture', 'action', 'crime']"," Good grief, my wife sat on the couch for 3 hours to watch last night.  I made the mistake of taking her to the movies to see ""I Come in Peace"" years ago and there hasn't been much sympathy for science-fiction since. Battlestar Galactica has good characters with room to play, good special effects (some very original and with wise reserve) and good ""keep'em guessing"" plot turns.  One is given delightful little clues that the Cylons, now taking on additional biological form, don't realize just how out-gunned they really are.<br /><br />There's hope for science fiction if this is what can be done with it on a national station. Bravo.", Great science fiction storytelling
Planet of the Apes - The Legacy Collection,B000E6ESEY,Planet Of The Apes,B0053EZTP4,Planet Of Apes:tl Colle Bxcbsm,B000EBIOP8,Planet of the Apes: Evolution,B0006419LE,Planet of the Apes Collection,6305076146,Time Machine,6301977815,Alien³,B00004S5PT,"['venture', 'action', 'crime']"," If you're a Planet of the Apes fan, you gotta have this 2-disc 35th Anniversary set in your library; not for the first disc, but the second one.<br /><br />The first disc  has what you'd expect: the full-length sci-fi classic itself.<br /><br />But the second disc offers a truly unusual gallery of supporting materials that will certainly enrich and deepen your enjoyment of this cult masterpiece.<br /><br />My favorite Disc-Two materials include the 2-hour ""behind the scenes"" documentary hosted by Roddy McDowall; rare footage of dailies and outtakes; and again McDowall's on-set footage.<br /><br />Both thumbs up.", A Special Set to Go Ape over
Requiem for a Dream,B000059HCM,Requiem For A Dream,B00110S0NC,Irreversible,B00156VGX8,Irréversible,B00008YNI2,Precious,B0037QM8YA,The Wrestler,B001XN9NTC,House Of Sand And Fog,B000YBYTBG,"['venture', 'action', 'crime']"," well i did just write something like a 300 word review and it was deleted. so here's my new one. Requiem= an absolutely amazing movie. It's the best drug movie out there. If you liked either Trainspotting or Pi, watch this. If you liked Requiem, you should like either of those. By watching this movie you'll learn more about yourself and hopefully feel better about your life. Make sure though that you are at least of age because the themes in this movie are very provocative and possibly offending. So just watch it.", watch it.
Kick-Ass,B003TOH8AE,Scott Pilgrim vs. The World,B00448SE4S,Punisher,B001QB9H24,Hancock,B0013J55B6,Drive,B004EPYZOY,Machete,B004EJ1GB0,Crank,B000LMQ3EE,"['venture', 'crime', 'action']"," I was a little put off by the cover of the DVD, but once I started watching this film I was completely hooked.<br /><br />This is one of the funniest comedies I have seen in a long time, and the actors are all brilliant in it - in terms of performances you cannot fault this film.<br /><br />What I also liked is the fact that the characters are very well developed, and you really do care what happens to them. I was really worried when Kick Ass was captured.<br /><br />This film is truly brilliant, you have to see it.", Hilarious
Syriana,B000E5KJFM,Constant Gardener,B000C65Z20,The Ides of March,B0060ZJ7AI,The Good Shepherd,B000MXPE7Y,W.,B000FBH3W2,Michael Clayton,B00121QGPY,Munich,B000F1IQMS,"['venture', 'action', 'crime']"," matter of fact,today i would say this film rates as a 'must-own' if there is such a category.WOW......not only is ""syriana"" one of the strongest and revealing movies regarding the world in which we live today,but it's equally riveting and entertaining as well.complex;this film is best left for a time when you can really sit and get into the story,less distractions.....i ended up purchasing this movie and watching it a couple different times over the following week.not because i had to,but the disturbing relevence of this movie based on a true story-about the oil industry,it's pawns,and their lives-made me want to.", a true 'must see'....
Enemy At the Gates,B00005LQ0R,Enemy at the Gates,B00005OLA6,Der Untergang,B0002Z16HY,Downfall,B0009RCPUC,Flyboys,B000LAZE82,Das Boot,B004SB60LK,Hurt Locker,B00275EGX8,"['venture', 'action', 'crime']"," I had seen this movie many years ago.  I watched it again and I realized that there is so much more to this movie than when I saw it the first time.  This is a must see movie.  It is more than just a war movie about snipers.  It's like the Russian version of Saving Private Ryan.  This is the story of the human spirit and how war can change a person and a nation.  Need to warn you, if you have children, there is a sexual part towards the middle of the movie.  This movie is epic and a must have for any video library or war movie collection.", One of the best war movies ever.
